round,rank,candidate_id,strategy,origin,parent_ids,is_survivor,sharpe_ratio,total_return,max_drawdown,trade_count,signal_count,final_equity,win_rate,params_json
4,43,r4_c21,donchian_breakout,mutation,r3_c01,False,-0.6251203080975053,-0.1158087909468093,0.40466572480487645,58,64,8841.912090531907,0.20833333333333334,"{""breakout_buffer_bps"": 50.0, ""lookback_window"": 65}"
4,44,r4_c50,donchian_breakout,mutation,r3_c04,False,-0.6283883923369112,-0.11776098745285053,0.3236643781734614,183,203,8822.390125471495,0.3088235294117647,"{""breakout_buffer_bps"": 25.0, ""lookback_window"": 67}"
4,45,r4_c38,donchian_breakout,mutation,r3_c27,False,-0.7074704074243221,-0.12765182669824954,0.35251604089684685,231,252,8723.481733017505,0.3,"{""breakout_buffer_bps"": 20.0, ""lookback_window"": 73}"
4,46,r4_c37,multi_timeframe_ma_spread,mutation,r3_c08,False,-1.056377367744229,-0.15633676590320356,0.3679876771285987,129,130,8436.632340967964,0.2717391304347826,"{""primary_ma_period"": 19, ""reference_ma_period"": 48, ""spread_threshold_bps"": 10.0}"
4,47,r4_c30,donchian_breakout,mutation,r3_c04,False,-1.1122172830086845,-0.1749851019026226,0.380261107184731,257,280,8250.148980973774,0.3125,"{""breakout_buffer_bps"": 20.0, ""lookback_window"": 59}"
4,48,r4_c46,donchian_breakout,mutation,r3_c26,False,-1.1140069359899065,-0.17517277626125796,0.3804020853652452,255,278,8248.27223738742,0.3125,"{""breakout_buffer_bps"": 20.0, ""lookback_window"": 60}"
4,49,r4_c35,multi_timeframe_ma_spread,mutation,r3_c50,False,-1.1651758909410328,-0.1707952103003081,0.3868464244358099,112,115,8292.047896996919,0.3448275862068966,"{""primary_ma_period"": 28, ""reference_ma_period"": 39, ""spread_threshold_bps"": 55.0}"
4,50,r4_c33,donchian_breakout,mutation,r3_c06,False,-2.30832425592813,-0.3014939577566832,0.35846089369591677,625,741,6985.060422433168,0.29069767441860467,"{""breakout_buffer_bps"": 0.0, ""lookback_window"": 77}"
5,1,r5_c01,donchian_breakout,elite,r4_c47,True,3.118040080577203,0.4768026524122479,0.16778916976763766,117,130,14768.026524122479,0.47368421052631576,"{""breakout_buffer_bps"": 35.0, ""lookback_window"": 64}"
5,2,r5_c02,donchian_breakout,elite,r4_c01,True,3.092541174201671,0.46842729240705705,0.1919099243923814,94,100,14684.27292407057,0.5357142857142857,"{""breakout_buffer_bps"": 40.0, ""lookback_window"": 63}"
5,3,r5_c03,donchian_breakout,elite,r4_c23,True,3.091799852780509,0.47176678071771605,0.18827075775978624,116,128,14717.66780717716,0.47368421052631576,"{""breakout_buffer_bps"": 35.0, ""lookback_window"": 65}"
